User: "fernando_im" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 221.6
User: "ferstari96i" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 473.9
User: "Franchute3000" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_cdm | PJ: 13 | Pts: 173.5
User: "Franchute3000" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_cam | PJ: 10 | Pts: 132.6
User: "FX-Wheezy" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_gk | PJ: 3 | Pts: 41.3
User: "GS_GALEX" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_fb | PJ: 2 | Pts: 15.2
User: "Guaire27" | Team: "90min FC" (90min) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 244.5
User: "guto_12_" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 305.3
User: "GzAntonio" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_cam | PJ: 12 | Pts: 95.8
User: "hectorop96" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 254
User: "Heretics_Jordi" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_cb | PJ: 16 | Pts: 183.3
User: "hi_im_smurf" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_cam | PJ: 12 | Pts: 113.2
User: "hichipro" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_wingers | PJ: 12 | Pts: 161
User: "Huugopriet0" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 236.3
User: "I-Maximin10" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_strikers | PJ: 20 | Pts: 322.7
User: "ImNiTrO21" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_wingers | PJ: 12 | Pts: 140.5
User: "israeadri" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 233.9
User: "ivan_pastor5" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cdm | PJ: 11 | Pts: 195
User: "ivan_pastor5" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cam | PJ: 11 | Pts: 179
User: "ivan_pastor5" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_strikers | PJ: 9 | Pts: 166.5
User: "ivanagui47" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_strikers | PJ: 9 | Pts: 111
User: "ivanovic57" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_cdm | PJ: 16 | Pts: 245
User: "ivanovic57" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_cam | PJ: 16 | Pts: 215
User: "ivanscve" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_gk | PJ: 4 | Pts: 10
User: "ivecgg" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_gk | PJ: 20 | Pts: 227.2
User: "izanjc08gg" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_wingers | PJ: 10 | Pts: 92.9
User: "JJw-SaMi" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_wingers | PJ: 14 | Pts: 179.3
User: "joneyjr" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_wingers | PJ: 14 | Pts: 187.6
User: "joooaaquiiin" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_gk | PJ: 16 | Pts: 185.8
User: "juanlukaku" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_wingers | PJ: 20 | Pts: 310.7
User: "juanma-rdz_92" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_wingers | PJ: 17 | Pts: 188.4
User: "JVT-10K" | Team: "90min FC" (90min) | Pos: undefined | LB: top_cdm | PJ: 16 | Pts: 223.5
User: "JVT-10K" | Team: "90min FC" (90min) | Pos: undefined | LB: top_cam | PJ: 16 | Pts: 189.5
User: "kerko_87" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_cb | PJ: 14 | Pts: 167.9
User: "king_albersis" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 249.7
User: "king_albersis" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_cam | PJ: 20 | Pts: 219.7
User: "kint782" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_cdm | PJ: 18 | Pts: 251.5
User: "ktdnrubo" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 244.4
User: "ktdnrubo" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cam | PJ: 9 | Pts: 95.7
User: "kuentinjr" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_fb | PJ: 1 | Pts: 0
User: "Lamuda1217" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_strikers | PJ: 10 | Pts: 124.9
User: "Loliwi08" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_wingers | PJ: 14 | Pts: 132.5
User: "luucaaas" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 247.8
User: "luucaaas" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_cam | PJ: 18 | Pts: 198
User: "lykano" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 270
User: "M4rcKit0s7" | Team: "90min FC" (90min) | Pos: undefined | LB: top_cdm | PJ: 12 | Pts: 167.6
User: "Makensii-_-" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_cam | PJ: 10 | Pts: 86.1
User: "marcosalcaide3" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 225.9
User: "MarioFresh" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 231.3
User: "mazael24" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_strikers | PJ: 10 | Pts: 113.3
User: "mecvno" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_cam | PJ: 8 | Pts: 83.8
User: "Merino_11" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_cb | PJ: 18 | Pts: 218.4
User: "Migue_Madrile95" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_cdm | PJ: 14 | Pts: 161.4
User: "Migue_Madrile95" | Team: "JS ELCANO" (js-elcano) | Pos: undefined | LB: top_cam | PJ: 9 | Pts: 87.4
User: "mikelma29" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_strikers | PJ: 18 | Pts: 240
User: "mikivf" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_cdm | PJ: 18 | Pts: 284.3
User: "Mini_lvd11" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cdm | PJ: 14 | Pts: 171.3
